date,Switzerland,Germany,Spain,France,United Kingdom,Iran,Italy,Turkey,United States
2/27/2020,0.12,,,,,,,,
2/28/2020,0.7,,,,,,,,
2/29/2020,0.66,,,,,,,,
3/1/2020,0.83,,,,,,,,
3/2/2020,0.93,,,,,,,,
3/3/2020,0.95,,,,,,,,
3/4/2020,0.95,,,,,,,,
3/5/2020,1.25,,,,,,,,
3/6/2020,1.57,,,,,,,,
3/7/2020,3.33,,,,,,,,
3/8/2020,3.77,,,,,,,,
3/9/2020,3.87,,,,,,,,
3/10/2020,3.5,,,,,,,,
3/11/2020,3.69,,,,,,,,
3/12/2020,3.59,,,,,,,,
3/13/2020,3.79,,,,,,,,
3/14/2020,4.08,,,,,,,,
3/15/2020,4.49,,,,,,,,
3/16/2020,6.21,,,,,,,,
3/17/2020,4.96,,,,,,,,
3/18/2020,4.85,,,,,,,,
3/19/2020,4.69,,,,,,,,
3/20/2020,5.38,,,,,,,,
3/21/2020,6.17,,,,,,,,
3/22/2020,7.4,,,,,,,,
3/23/2020,7.91,,,,,,,,
3/24/2020,8.53,,,,,,,,
3/25/2020,8.67,,,,,,,,
3/26/2020,8.86,,,,,,,,
3/27/2020,9.18,,,,,,,,
3/28/2020,9.88,,,,,,,,
3/29/2020,10.45,,,,,,,,
3/30/2020,10.97,,,,,,,,
3/31/2020,11.26,,,,,,,,
4/1/2020,11.22,,,,,,,,
4/2/2020,11.32,,,,,,,,
4/3/2020,11.57,,,,,,,,
4/4/2020,11.82,,,,,,,,
4/5/2020,12.14,,,,,,,,
4/6/2020,12.34,,,,,,,,
4/7/2020,12.2,,,,,,,,
4/8/2020,12.07,,,,,,,,
4/9/2020,11.97,,,,,,,,
4/10/2020,12.12,,,,,,,,
4/11/2020,12.31,,,,,,,,
4/12/2020,12.46,,,,,,,,
4/13/2020,12.52,,,,,,,,
4/14/2020,12.4,,,,,,,,
4/15/2020,12.2,,,,,,,,
4/16/2020,12.18,,,,,,,,
4/17/2020,12.07,,,,,,,,
4/18/2020,12.01,,,,,,,,
4/19/2020,12.04,,,,,,,,
4/20/2020,12.01,,,,,,,,
4/21/2020,11.83,,,,,,,,
4/22/2020,11.66,,,,,,,,
4/23/2020,11.53,,,,,,,,
4/24/2020,11.4,,,,,,,,
4/25/2020,11.28,,,,,,,,
4/26/2020,11.26,,,,,,,,
4/27/2020,11.17,,,,,,,,
4/28/2020,10.98,,,,,,,,
4/29/2020,11.02,,,,,,,,
3/8/2020,,0.68,,,,,,,
3/15/2020,,1.5,,,,,,,
3/22/2020,,3.57,,,,,,,
3/29/2020,,5.46,,,,,,,
4/5/2020,,6.69,,,,,,,
4/12/2020,,6.88,,,,,,,
4/19/2020,,6.73,,,,,,,
4/26/2020,,6.05,,,,,,,
4/13/2020,,,17.85,,,,,,
4/23/2020,,,19.33,,,,,,
4/30/2020,,,15.8,,,,,,
2/27/2020,,,,2,,,,,
2/28/2020,,,,2.89,,,,,
2/29/2020,,,,3,,,,,
3/1/2020,,,,4.08,,,,,
3/2/2020,,,,4.5,,,,,
3/3/2020,,,,4.95,,,,,
3/4/2020,,,,4.41,,,,,
3/5/2020,,,,4.71,,,,,
3/6/2020,,,,5.5,,,,,
3/7/2020,,,,6.46,,,,,
3/8/2020,,,,6.47,,,,,
3/9/2020,,,,8.89,,,,,
3/10/2020,,,,9.4,,,,,
3/15/2020,,,,12.24,,,,,
3/24/2020,,,,18.46,,,,,
3/31/2020,,,,19.87,,,,,
4/7/2020,,,,22.29,,,,,
4/14/2020,,,,21.15,,,,,
4/21/2020,,,,19.27,,,,,
4/28/2020,,,,17.36,,,,,
2/27/2020,,,,,0.17,,,,
2/28/2020,,,,,0.18,,,,
2/29/2020,,,,,0.17,,,,
3/1/2020,,,,,0.2,,,,
3/2/2020,,,,,0.27,,,,
3/3/2020,,,,,0.29,,,,
3/4/2020,,,,,0.31,,,,
3/5/2020,,,,,0.47,,,,
3/6/2020,,,,,0.57,,,,
3/7/2020,,,,,0.76,,,,
3/8/2020,,,,,0.88,,,,
3/9/2020,,,,,1.09,,,,
3/10/2020,,,,,1.22,,,,
3/11/2020,,,,,1.36,,,,
3/12/2020,,,,,1.53,,,,
3/13/2020,,,,,1.8,,,,
3/14/2020,,,,,1.87,,,,
3/15/2020,,,,,2.83,,,,
3/16/2020,,,,,3.15,,,,
3/17/2020,,,,,3.06,,,,
3/18/2020,,,,,3.47,,,,
3/19/2020,,,,,4.07,,,,
3/20/2020,,,,,4.89,,,,
3/21/2020,,,,,5.47,,,,
3/22/2020,,,,,6.41,,,,
3/23/2020,,,,,6.77,,,,
3/24/2020,,,,,7.35,,,,
3/25/2020,,,,,8.33,,,,
3/26/2020,,,,,9.09,,,,
3/27/2020,,,,,10.25,,,,
3/28/2020,,,,,12.04,,,,
3/29/2020,,,,,13.38,,,,
3/30/2020,,,,,14.47,,,,
3/31/2020,,,,,15.46,,,,
4/1/2020,,,,,16.44,,,,
4/2/2020,,,,,18.06,,,,
4/3/2020,,,,,19.4,,,,
4/4/2020,,,,,20.84,,,,
4/5/2020,,,,,21.43,,,,
4/6/2020,,,,,22.89,,,,
4/7/2020,,,,,24.21,,,,
4/8/2020,,,,,23.74,,,,
4/9/2020,,,,,24.95,,,,
4/10/2020,,,,,25.36,,,,
4/11/2020,,,,,26.07,,,,
4/12/2020,,,,,27.97,,,,
4/13/2020,,,,,28.99,,,,
4/14/2020,,,,,29.29,,,,
4/15/2020,,,,,29.92,,,,
4/16/2020,,,,,30.06,,,,
4/17/2020,,,,,30.18,,,,
4/18/2020,,,,,30.44,,,,
4/19/2020,,,,,30.62,,,,
4/20/2020,,,,,31.1,,,,
4/21/2020,,,,,31.37,,,,
4/22/2020,,,,,31.38,,,,
4/23/2020,,,,,31.35,,,,
4/24/2020,,,,,31.08,,,,
4/25/2020,,,,,27.7,,,,
4/26/2020,,,,,27.3,,,,
4/27/2020,,,,,26.82,,,,
4/28/2020,,,,,26.22,,,,
4/29/2020,,,,,25.47,,,,
4/30/2020,,,,,24.04,,,,
5/1/2020,,,,,22.47,,,,
5/2/2020,,,,,21.48,,,,
4/5/2020,,,,,,29.37,,,
4/8/2020,,,,,,28.32,,,
4/9/2020,,,,,,27.91,,,
4/10/2020,,,,,,27.3,,,
4/11/2020,,,,,,27.09,,,
4/12/2020,,,,,,26.59,,,
4/14/2020,,,,,,25.51,,,
4/15/2020,,,,,,25.03,,,
4/16/2020,,,,,,24.61,,,
4/17/2020,,,,,,24.38,,,
4/18/2020,,,,,,24.08,,,
4/19/2020,,,,,,23.67,,,
4/20/2020,,,,,,23.29,,,
4/21/2020,,,,,,22.83,,,
4/23/2020,,,,,,22.08,,,
4/24/2020,,,,,,21.76,,,
4/25/2020,,,,,,21.51,,,
4/26/2020,,,,,,21.2,,,
4/27/2020,,,,,,20.93,,,
4/29/2020,,,,,,20.42,,,
4/30/2020,,,,,,20.22,,,
2/27/2020,,,,,,,3.33,,
2/28/2020,,,,,,,4.14,,
2/29/2020,,,,,,,4.76,,
3/1/2020,,,,,,,5.34,,
3/2/2020,,,,,,,7.23,,
3/3/2020,,,,,,,7.87,,
3/4/2020,,,,,,,8.39,,
3/5/2020,,,,,,,9.55,,
3/6/2020,,,,,,,10.61,,
3/7/2020,,,,,,,11.02,,
3/8/2020,,,,,,,11.78,,
3/9/2020,,,,,,,13.7,,
3/10/2020,,,,,,,15.1,,
3/11/2020,,,,,,,13.87,,
3/12/2020,,,,,,,14.49,,
3/13/2020,,,,,,,15.5,,
3/14/2020,,,,,,,16.18,,
3/15/2020,,,,,,,16.94,,
3/16/2020,,,,,,,17.38,,
3/17/2020,,,,,,,18.82,,
3/18/2020,,,,,,,19.03,,
3/19/2020,,,,,,,19.54,,
3/20/2020,,,,,,,19.83,,
3/21/2020,,,,,,,20.16,,
3/22/2020,,,,,,,20.73,,
3/23/2020,,,,,,,21.47,,
3/24/2020,,,,,,,21.53,,
3/25/2020,,,,,,,21.32,,
3/26/2020,,,,,,,20.6,,
3/27/2020,,,,,,,20.44,,
3/28/2020,,,,,,,20.14,,
3/29/2020,,,,,,,20.37,,
3/30/2020,,,,,,,20.46,,
3/31/2020,,,,,,,20.07,,
4/1/2020,,,,,,,19.54,,
4/2/2020,,,,,,,19.02,,
4/3/2020,,,,,,,18.59,,
4/4/2020,,,,,,,18.23,,
4/5/2020,,,,,,,18.02,,
4/6/2020,,,,,,,17.87,,
4/7/2020,,,,,,,17.55,,
4/8/2020,,,,,,,16.8,,
4/9/2020,,,,,,,16.34,,
4/10/2020,,,,,,,15.84,,
4/11/2020,,,,,,,15.32,,
4/12/2020,,,,,,,15.07,,
4/13/2020,,,,,,,14.94,,
4/14/2020,,,,,,,14.86,,
4/15/2020,,,,,,,14.54,,
4/16/2020,,,,,,,14.02,,
4/17/2020,,,,,,,13.58,,
4/18/2020,,,,,,,13.2,,
4/19/2020,,,,,,,12.97,,
4/20/2020,,,,,,,12.8,,
4/21/2020,,,,,,,12.5,,
4/22/2020,,,,,,,12.16,,
4/23/2020,,,,,,,11.86,,
4/24/2020,,,,,,,11.57,,
4/25/2020,,,,,,,11.3,,
4/26/2020,,,,,,,11.11,,
4/27/2020,,,,,,,11.05,,
4/28/2020,,,,,,,10.8,,
4/29/2020,,,,,,,10.55,,
4/30/2020,,,,,,,10.29,,
5/1/2020,,,,,,,10.01,,
5/2/2020,,,,,,,9.84,,
3/18/2020,,,,,,,,0.98,
3/19/2020,,,,,,,,1.59,
3/20/2020,,,,,,,,2.29,
3/21/2020,,,,,,,,3.6,
3/22/2020,,,,,,,,4.65,
3/23/2020,,,,,,,,5.15,
3/24/2020,,,,,,,,5.47,
3/25/2020,,,,,,,,5.67,
3/26/2020,,,,,,,,6.04,
3/27/2020,,,,,,,,7.59,
3/28/2020,,,,,,,,10.27,
3/29/2020,,,,,,,,11.31,
3/30/2020,,,,,,,,11.97,
3/31/2020,,,,,,,,11.72,
4/1/2020,,,,,,,,12.67,
4/2/2020,,,,,,,,12.49,
4/3/2020,,,,,,,,12.8,
4/4/2020,,,,,,,,12.96,
4/5/2020,,,,,,,,13.19,
4/6/2020,,,,,,,,13.34,
4/7/2020,,,,,,,,13.2,
4/8/2020,,,,,,,,13.77,
4/9/2020,,,,,,,,13.83,
4/10/2020,,,,,,,,13.76,
4/11/2020,,,,,,,,13.82,
4/12/2020,,,,,,,,13.87,
4/13/2020,,,,,,,,13.87,
4/14/2020,,,,,,,,13.76,
4/15/2020,,,,,,,,13.63,
4/16/2020,,,,,,,,13.39,
4/17/2020,,,,,,,,13.29,
4/18/2020,,,,,,,,13.11,
4/19/2020,,,,,,,,12.98,
4/20/2020,,,,,,,,12.81,
4/21/2020,,,,,,,,12.75,
4/22/2020,,,,,,,,12.73,
4/23/2020,,,,,,,,12.46,
4/24/2020,,,,,,,,12.26,
4/25/2020,,,,,,,,12.08,
4/26/2020,,,,,,,,11.99,
4/27/2020,,,,,,,,11.99,
4/28/2020,,,,,,,,11.84,
4/29/2020,,,,,,,,11.56,
4/30/2020,,,,,,,,11.38,
5/1/2020,,,,,,,,11.18,
5/3/2020,,,,,,,,11.19,
3/7/2020,,,,,,,,,9.01
3/8/2020,,,,,,,,,9.36
3/9/2020,,,,,,,,,8.63
3/10/2020,,,,,,,,,8.54
3/11/2020,,,,,,,,,8.15
3/12/2020,,,,,,,,,7.41
3/13/2020,,,,,,,,,6.21
3/14/2020,,,,,,,,,6.95
3/15/2020,,,,,,,,,7.58
3/16/2020,,,,,,,,,6.67
3/17/2020,,,,,,,,,6.45
3/18/2020,,,,,,,,,6.64
3/19/2020,,,,,,,,,7.58
3/20/2020,,,,,,,,,8.88
3/21/2020,,,,,,,,,9.56
3/22/2020,,,,,,,,,10.71
3/23/2020,,,,,,,,,11.47
3/24/2020,,,,,,,,,12.37
3/25/2020,,,,,,,,,12.03
3/26/2020,,,,,,,,,12.37
3/27/2020,,,,,,,,,12.98
3/28/2020,,,,,,,,,13.65
3/29/2020,,,,,,,,,14.57
3/30/2020,,,,,,,,,14.7
3/31/2020,,,,,,,,,15.18
4/1/2020,,,,,,,,,15.91
4/2/2020,,,,,,,,,16.55
4/3/2020,,,,,,,,,17.03
4/4/2020,,,,,,,,,16.64
4/5/2020,,,,,,,,,17.44
4/6/2020,,,,,,,,,17.39
4/7/2020,,,,,,,,,17.58
4/8/2020,,,,,,,,,17.82
4/9/2020,,,,,,,,,17.97
4/10/2020,,,,,,,,,18.19
4/11/2020,,,,,,,,,18.57
4/12/2020,,,,,,,,,18.65
4/13/2020,,,,,,,,,18.74
4/14/2020,,,,,,,,,18.64
4/15/2020,,,,,,,,,18.68
4/16/2020,,,,,,,,,18.68
4/17/2020,,,,,,,,,18.74
4/18/2020,,,,,,,,,18.85
4/19/2020,,,,,,,,,18.89
4/20/2020,,,,,,,,,18.81
4/21/2020,,,,,,,,,18.81
4/22/2020,,,,,,,,,18.33
4/23/2020,,,,,,,,,17.95
4/24/2020,,,,,,,,,17.65
4/25/2020,,,,,,,,,17.14
4/26/2020,,,,,,,,,17.38
4/27/2020,,,,,,,,,17.27
4/28/2020,,,,,,,,,17.05
4/29/2020,,,,,,,,,16.8
4/30/2020,,,,,,,,,16.65
5/1/2020,,,,,,,,,16.33
5/2/2020,,,,,,,,,16.19
